problem,click_depth,filter_depth,iterative_distance,number_filters,query_frequency,relevant_new_info,number_measures,consideration_time,elapsed_time,number_cells,rqp,iterative_precision,click_per_query,view_area_increase,execution_time,number_aggregations,aggregation_depth,iterative_recall,number_queries,expected
dibstudent03--2016-09-25--15-56.log-36,-0.7345136397,-0.021879863,-0.2094252255,0.5850290413,-0.3015575296,0.6784076779,1.0632520095,-0.3875343033,0.2498057994,0.0274438583,0.5994363187,-1.1869082721,0.0354013416,-0.1444585767,-0.0772533795,1.7007660802,0.1428393326,-1.1503836119,0.4561099059,0
dibstudent03--2016-09-25--15-56.log-37,-0.4989636035,-0.3753098313,1.2766257917,-0.488242589,-0.2956634317,0.3188069458,1.0632520095,-0.3748036344,0.2532201234,-0.1329081595,0.6635512858,-1.1869082721,-0.6175567376,0.7855221059,-0.0901536694,0.7085619708,-0.3492166184,-1.1503836119,0.5052112317,0
dibstudent03--2016-09-25--15-56.log-38,-0.7345136397,-0.3753098313,-0.7047755645,-0.488242589,-0.290011483,0.3188069458,1.0632520095,1.3660399142,0.257596321,-0.1329081595,0.7276662529,0.9372741394,-0.6175567376,-0.1444585767,-0.1340952822,0.7085619708,-0.3492166184,0.956849521,0.5543125575,1
dibstudent03--2016-09-25--15-56.log-39,0.9143366137,0.0959301264,1.2766257917,0.9427862514,-0.3139055319,0.1823228532,1.0632520095,-0.2048703223,0.4129670407,-0.151092409,0.7917812199,0.9372741394,1.3413175001,-0.1444585767,-0.1469955721,0.7085619708,-0.3492166184,0.5639755471,0.6034138833,1
dibstudent03--2016-09-25--15-56.log-4,-0.4989636035,-0.3753098313,-0.7047755645,-0.488242589,-0.4038140621,-0.4127776659,-0.1105679236,-0.4054386918,-0.655223015,-0.2106044981,-1.4522426278,0.9372741394,2.3207546189,-0.1444585767,-0.1530425831,-0.2836421386,-0.8412725695,0.956849521,-1.1151325197,0
dibstudent03--2016-09-25--15-56.log-40,0.6787865775,0.0959301264,-0.2094252255,0.9427862514,-0.3114331964,0.1823228532,-0.1105679236,-0.3905812169,0.4320448543,-0.151092409,0.855896187,0.9372741394,-0.291077698,-0.1444585767,-0.1469955721,0.7085619708,-0.3492166184,0.956849521,0.6525152091,1
dibstudent03--2016-09-25--15-56.log-41,0.4432365413,0.0959301264,-0.7047755645,0.9427862514,-0.3062190882,0.1823228532,-0.1105679236,-0.3538221647,0.4349893653,-0.151092409,0.9200111541,0.9372741394,-0.291077698,-0.1444585767,-0.1534457171,0.7085619708,-0.3492166184,0.956849521,0.7016165349,1
dibstudent03--2016-09-25--15-56.log-42,0.2076865051,0.0959301264,-0.7047755645,0.9427862514,-0.3016065935,0.1823228532,-0.1105679236,-0.4087420289,0.4411649863,-0.151092409,0.9841261212,0.9372741394,-0.291077698,-0.1444585767,-0.1405454272,0.7085619708,-0.3492166184,0.956849521,0.7507178607,1
dibstudent03--2016-09-25--15-56.log-43,-0.0278635311,0.0959301264,-0.7047755645,0.9427862514,-0.2961761036,0.1823228532,-0.1105679236,-0.4047448402,0.4426176117,-0.151092409,1.0482410882,0.9372741394,-0.291077698,-0.1444585767,-0.1276451372,0.7085619708,-0.3492166184,0.956849521,0.7998191865,1
dibstudent03--2016-09-25--15-56.log-44,-0.2634135673,0.0959301264,-0.7047755645,0.9427862514,-0.2908139147,0.1823228532,-0.1105679236,-0.3778656318,0.4443751576,-0.151092409,1.1123560553,0.9372741394,-0.291077698,-0.1444585767,-0.1405454272,0.7085619708,-0.3492166184,0.956849521,0.8489205123,1
